iter	Logloss
0	0.6884219359
1	0.6846992243
2	0.6804481766
3	0.676227978
4	0.6716853745
5	0.6672902071
6	0.6640072058
7	0.6602127039
8	0.6563947645
9	0.6525316116
10	0.6483924921
11	0.6449118594
12	0.6413089916
13	0.6374640958
14	0.6335821622
15	0.6288496429
16	0.6250950896
17	0.6209987976
18	0.6182406969
19	0.614688543
20	0.6112580277
21	0.6082727341
22	0.6042492868
23	0.6012801893
24	0.5972361233
25	0.5939734037
26	0.5906673907
27	0.5868390315
28	0.5834556368
29	0.5798315738
30	0.5777256997
31	0.5752542491
32	0.572487466
33	0.5708036216
34	0.5674612734
35	0.5642878379
36	0.5622347215
37	0.5606505876
38	0.558180082
39	0.5555522986
40	0.5527687612
41	0.5511804388
42	0.5483320874
43	0.5453616844
44	0.5425259522
45	0.5395271709
46	0.5371046656
47	0.5351084811
48	0.5324767098
49	0.5300800542
50	0.5274836808
51	0.5256512553
52	0.5227074883
53	0.5202730221
54	0.5175201779
55	0.5151113272
56	0.51309122
57	0.510616099
58	0.5084038021
59	0.5064813325
60	0.5038736615
61	0.5018473628
62	0.4992070468
63	0.4967694133
64	0.4944955802
65	0.4919413077
66	0.4897338196
67	0.4874804427
68	0.4857089531
69	0.483401773
70	0.4817313278
71	0.4797356913
72	0.4783886172
73	0.476817018
74	0.4746734474
75	0.4730601267
76	0.4707788046
77	0.4690916851
78	0.4666240199
79	0.4646559482
80	0.4625645349
81	0.4606513245
82	0.4587256745
83	0.4576947035
84	0.4564412936
85	0.454754641
86	0.4528300112
87	0.451765661
88	0.4502895923
89	0.4486834524
90	0.4472738781
91	0.4455103747
92	0.443894064
93	0.4431256858
94	0.4413652514
95	0.4395945461
96	0.4378531612
97	0.4359041756
98	0.4342828986
99	0.433213281
100	0.4314808652
101	0.430740611
102	0.4293017566
103	0.42789512
104	0.4265759495
105	0.4251058652
106	0.423992526
107	0.4222699139
108	0.4211666972
109	0.4202247515
110	0.4198593581
111	0.4179838407
112	0.4159945123
113	0.4142427018
114	0.4124178693
115	0.4109906557
116	0.4095345649
117	0.4084235759
118	0.4070920987
119	0.4057319781
120	0.4042910249
121	0.4026003954
122	0.4014355061
123	0.3998863919
124	0.3987020378
125	0.3984040721
126	0.3974048598
127	0.3964407637
128	0.3952996925
129	0.3935079965
130	0.391958224
131	0.3903309528
132	0.3890571414
133	0.3881705312
134	0.3873128041
135	0.3861935925
136	0.3849629377
137	0.3838819101
138	0.3829925796
139	0.3817217591
140	0.3802765571
141	0.3790058559
142	0.3779259544
143	0.3762595104
